Recipe Name,Station,Category,Group,Experience,Cooking Time (Ticks),Output,Output Count,Input,Input,Input,Input,Input,Input,Input,Input,Input
white_banner,crafting_shaped,misc,banner,,,white_banner,1,white_wool,white_wool,white_wool,white_wool,white_wool,white_wool,,stick,
light_gray_stained_glass_pane_from_glass_pane,crafting_shaped,misc,stained_glass_pane,,,light_gray_stained_glass_pane,8,glass_pane,glass_pane,glass_pane,glass_pane,light_gray_dye,glass_pane,glass_pane,glass_pane,glass_pane
powered_rail,crafting_shaped,misc,,,,powered_rail,6,gold_ingot,,gold_ingot,gold_ingot,stick,gold_ingot,gold_ingot,redstone,gold_ingot
waxed_oxidized_copper_from_honeycomb,crafting_shapeless,building,waxed_oxidized_copper,,,waxed_oxidized_copper,1,oxidized_copper,honeycomb,,,,,,,
oak_wood,crafting_shaped,building,bark,,,oak_wood,3,oak_log,oak_log,,oak_log,oak_log,,,,
red_terracotta,crafting_shaped,building,stained_terracotta,,,red_terracotta,8,terracotta,terracotta,terracotta,terracotta,red_dye,terracotta,terracotta,terracotta,terracotta
lapis_block,crafting_shaped,building,,,,lapis_block,1,lapis_lazuli,lapis_lazuli,lapis_lazuli,lapis_lazuli,lapis_lazuli,lapis_lazuli,lapis_lazuli,lapis_lazuli,lapis_lazuli
blackstone_stairs,crafting_shaped,building,,,,blackstone_stairs,4,blackstone,,,blackstone,blackstone,,blackstone,blackstone,blackstone
honey_bottle,crafting_shapeless,misc,,,,honey_bottle,4,honey_block,glass_bottle,glass_bottle,glass_bottle,glass_bottle,,,,
blue_stained_glass_pane_from_glass_pane,crafting_shaped,misc,stained_glass_pane,,,blue_stained_glass_pane,8,glass_pane,glass_pane,glass_pane,glass_pane,blue_dye,glass_pane,glass_pane,glass_pane,glass_pane
brown_terracotta,crafting_shaped,building,stained_terracotta,,,brown_terracotta,8,terracotta,terracotta,terracotta,terracotta,brown_dye,terracotta,terracotta,terracotta,terracotta
cobblestone_wall,crafting_shaped,misc,,,,cobblestone_wall,6,cobblestone,cobblestone,cobblestone,cobblestone,cobblestone,cobblestone,,,
cauldron,crafting_shaped,misc,,,,cauldron,1,iron_ingot,,iron_ingot,iron_ingot,,iron_ingot,iron_ingot,iron_ingot,iron_ingot
cut_copper_stairs_from_cut_copper_stonecutting,stonecutting,,,,,cut_copper_stairs,1,cut_copper,,,,,,,,
oak_fence_gate,crafting_shaped,redstone,wooden_fence_gate,,,oak_fence_gate,1,stick,oak_planks,stick,stick,oak_planks,stick,,,
blue_terracotta,crafting_shaped,building,stained_terracotta,,,blue_terracotta,8,terracotta,terracotta,terracotta,terracotta,blue_dye,terracotta,terracotta,terracotta,terracotta
gold_ingot_from_smelting_deepslate_gold_ore,smelting_clear,misc,gold_ingot,1.0,200,gold_ingot,1,deepslate_gold_ore,,,,,,,,
red_sandstone_wall,crafting_shaped,misc,,,,red_sandstone_wall,6,red_sandstone,red_sandstone,red_sandstone,red_sandstone,red_sandstone,red_sandstone,,,
dye_red_bed,crafting_shapeless,building,bed,,,red_bed,1,red_dye,black_bed;blue_bed;brown_bed;cyan_bed;gray_bed;green_bed;light_blue_bed;light_gray_bed;lime_bed;magenta_bed;orange_bed;pink_bed;purple_bed;yellow_bed;white_bed,,,,,,,
stone_shovel,crafting_shaped,equipment,,,,stone_shovel,1,#stone_tool_materials,,,stick,,,stick,,
packed_mud,crafting_shapeless,building,,,,packed_mud,1,mud,wheat,,,,,,,
glass_bottle,crafting_shaped,misc,,,,glass_bottle,3,glass,,glass,,glass,,,,
gold_nugget,crafting_shapeless,misc,,,,gold_nugget,9,gold_ingot,,,,,,,,
jungle_stairs,crafting_shaped,building,wooden_stairs,,,jungle_stairs,4,jungle_planks,,,jungle_planks,jungle_planks,,jungle_planks,jungle_planks,jungle_planks
spruce_stairs,crafting_shaped,building,wooden_stairs,,,spruce_stairs,4,spruce_planks,,,spruce_planks,spruce_planks,,spruce_planks,spruce_planks,spruce_planks
polished_blackstone_slab_from_blackstone_stonecutting,stonecutting,,,,,polished_blackstone_slab,2,blackstone,,,,,,,,
spruce_fence_gate,crafting_shaped,redstone,wooden_fence_gate,,,spruce_fence_gate,1,stick,spruce_planks,stick,stick,spruce_planks,stick,,,
polished_blackstone_stairs,crafting_shaped,building,,,,polished_blackstone_stairs,4,polished_blackstone,,,polished_blackstone,polished_blackstone,,polished_blackstone,polished_blackstone,polished_blackstone
purple_bed,crafting_shaped,misc,bed,,,purple_bed,1,purple_wool,purple_wool,purple_wool,#planks,#planks,#planks,,,
light_gray_dye_from_oxeye_daisy,crafting_shapeless,misc,light_gray_dye,,,light_gray_dye,1,oxeye_daisy,,,,,,,,
leather_chestplate,crafting_shaped,equipment,,,,leather_chestplate,1,leather,,leather,leather,leather,leather,leather,leather,leather
golden_carrot,crafting_shaped,misc,,,,golden_carrot,1,gold_nugget,gold_nugget,gold_nugget,gold_nugget,carrot,gold_nugget,gold_nugget,gold_nugget,gold_nugget
coast_armor_trim_smithing_template_smithing_trim,smithing_trim,,,,,,1,coast_armor_trim_smithing_template,#trimmable_armor,#trim_materials,,,,,,
smooth_quartz_slab,crafting_shaped,building,,,,smooth_quartz_slab,6,smooth_quartz,smooth_quartz,smooth_quartz,,,,,,
oxidized_cut_copper_slab,crafting_shaped,building,,,,oxidized_cut_copper_slab,6,oxidized_cut_copper,oxidized_cut_copper,oxidized_cut_copper,,,,,,
deepslate_bricks_from_polished_deepslate_stonecutting,stonecutting,,,,,deepslate_bricks,1,polished_deepslate,,,,,,,,
magenta_glazed_terracotta,smelting,blocks,,0.1,200,magenta_glazed_terracotta,1,magenta_terracotta,,,,,,,,
deepslate_brick_wall,crafting_shaped,misc,,,,deepslate_brick_wall,6,deepslate_bricks,deepslate_bricks,deepslate_bricks,deepslate_bricks,deepslate_bricks,deepslate_bricks,,,
fletching_table,crafting_shaped,misc,,,,fletching_table,1,flint,flint,,#planks,#planks,,#planks,#planks,
glow_item_frame,crafting_shapeless,misc,,,,glow_item_frame,1,item_frame,glow_ink_sac,,,,,,,
stripped_dark_oak_wood,crafting_shaped,building,bark,,,stripped_dark_oak_wood,3,stripped_dark_oak_log,stripped_dark_oak_log,,stripped_dark_oak_log,stripped_dark_oak_log,,,,
stone_bricks_from_stone_stonecutting,stonecutting,,,,,stone_bricks,1,stone,,,,,,,,
deepslate_brick_stairs_from_deepslate_bricks_stonecutting,stonecutting,,,,,deepslate_brick_stairs,1,deepslate_bricks,,,,,,,,
brick_wall,crafting_shaped,misc,,,,brick_wall,6,bricks,bricks,bricks,bricks,bricks,bricks,,,
redstone_lamp,crafting_shaped,redstone,,,,redstone_lamp,1,,redstone,,redstone,glowstone,redstone,,redstone,
brown_banner,crafting_shaped,misc,banner,,,brown_banner,1,brown_wool,brown_wool,brown_wool,brown_wool,brown_wool,brown_wool,,stick,
light_gray_stained_glass,crafting_shaped,building,stained_glass,,,light_gray_stained_glass,8,glass,glass,glass,glass,light_gray_dye,glass,glass,glass,glass
deepslate_brick_stairs_from_cobbled_deepslate_stonecutting,stonecutting,,,,,deepslate_brick_stairs,1,cobbled_deepslate,,,,,,,,
blue_banner,crafting_shaped,misc,banner,,,blue_banner,1,blue_wool,blue_wool,blue_wool,blue_wool,blue_wool,blue_wool,,stick,
crimson_door,crafting_shaped,redstone,wooden_door,,,crimson_door,3,crimson_planks,crimson_planks,,crimson_planks,crimson_planks,,crimson_planks,crimson_planks,
clock,crafting_shaped,equipment,,,,clock,1,,gold_ingot,,gold_ingot,redstone,gold_ingot,,gold_ingot,
light_blue_banner,crafting_shaped,misc,banner,,,light_blue_banner,1,light_blue_wool,light_blue_wool,light_blue_wool,light_blue_wool,light_blue_wool,light_blue_wool,,stick,
purpur_block,crafting_shaped,building,,,,purpur_block,4,popped_chorus_fruit,popped_chorus_fruit,,popped_chorus_fruit,popped_chorus_fruit,,,,
cut_red_sandstone_from_red_sandstone_stonecutting,stonecutting,,,,,cut_red_sandstone,1,red_sandstone,,,,,,,,
sandstone_wall,crafting_shaped,misc,,,,sandstone_wall,6,sandstone,sandstone,sandstone,sandstone,sandstone,sandstone,,,
warped_hyphae,crafting_shaped,building,bark,,,warped_hyphae,3,warped_stem,warped_stem,,warped_stem,warped_stem,,,,
waxed_oxidized_cut_copper_from_honeycomb,crafting_shapeless,building,waxed_oxidized_cut_copper,,,waxed_oxidized_cut_copper,1,oxidized_cut_copper,honeycomb,,,,,,,
diorite_slab_from_diorite_stonecutting,stonecutting,,,,,diorite_slab,2,diorite,,,,,,,,
dye_green_wool,crafting_shapeless,building,wool,,,green_wool,1,green_dye,black_wool;blue_wool;brown_wool;cyan_wool;gray_wool;light_blue_wool;light_gray_wool;lime_wool;magenta_wool;orange_wool;pink_wool;purple_wool;red_wool;yellow_wool;white_wool,,,,,,,
mossy_stone_bricks_from_moss_block,crafting_shapeless,building,mossy_stone_bricks,,,mossy_stone_bricks,1,stone_bricks,moss_block,,,,,,,
mangrove_hanging_sign,crafting_shaped,misc,hanging_sign,,,mangrove_hanging_sign,6,chain,,chain,stripped_mangrove_log,stripped_mangrove_log,stripped_mangrove_log,stripped_mangrove_log,stripped_mangrove_log,stripped_mangrove_log
cooked_chicken,smelting,food,,0.35,200,cooked_chicken,1,chicken,,,,,,,,
waxed_exposed_copper_from_honeycomb,crafting_shapeless,building,waxed_exposed_copper,,,waxed_exposed_copper,1,exposed_copper,honeycomb,,,,,,,
deepslate_tile_stairs_from_polished_deepslate_stonecutting,stonecutting,,,,,deepslate_tile_stairs,1,polished_deepslate,,,,,,,,
wayfinder_armor_trim_smithing_template,crafting_shaped,misc,,,,wayfinder_armor_trim_smithing_template,2,diamond,wayfinder_armor_trim_smithing_template,diamond,diamond,terracotta,diamond,diamond,diamond,diamond
waxed_exposed_cut_copper_slab,crafting_shaped,building,waxed_exposed_cut_copper_slab,,,waxed_exposed_cut_copper_slab,6,waxed_exposed_cut_copper,waxed_exposed_cut_copper,waxed_exposed_cut_copper,,,,,,
baked_potato_from_smoking,smoking,food,,0.35,100,baked_potato,1,potato,,,,,,,,
lapis_lazuli,crafting_shapeless,misc,,,,lapis_lazuli,9,lapis_block,,,,,,,,
sugar_from_honey_bottle,crafting_shapeless,misc,sugar,,,sugar,3,honey_bottle,,,,,,,,
polished_blackstone_stairs_from_polished_blackstone_stonecutting,stonecutting,,,,,polished_blackstone_stairs,1,polished_blackstone,,,,,,,,
observer,crafting_shaped,redstone,,,,observer,1,cobblestone,cobblestone,cobblestone,redstone,redstone,quartz,cobblestone,cobblestone,cobblestone
pink_banner,crafting_shaped,misc,banner,,,pink_banner,1,pink_wool,pink_wool,pink_wool,pink_wool,pink_wool,pink_wool,,stick,
baked_potato,smelting,food,,0.35,200,baked_potato,1,potato,,,,,,,,
dune_armor_trim_smithing_template_smithing_trim,smithing_trim,,,,,,1,dune_armor_trim_smithing_template,#trimmable_armor,#trim_materials,,,,,,
waxed_oxidized_cut_copper_slab_from_waxed_oxidized_cut_copper_stonecutting,stonecutting,,,,,waxed_oxidized_cut_copper_slab,2,waxed_oxidized_cut_copper,,,,,,,,
oxidized_cut_copper_from_oxidized_copper_stonecutting,stonecutting,,,,,oxidized_cut_copper,4,oxidized_copper,,,,,,,,
smooth_sandstone,smelting,blocks,,0.1,200,smooth_sandstone,1,sandstone,,,,,,,,
dark_oak_trapdoor,crafting_shaped,redstone,wooden_trapdoor,,,dark_oak_trapdoor,2,dark_oak_planks,dark_oak_planks,dark_oak_planks,dark_oak_planks,dark_oak_planks,dark_oak_planks,,,
polished_blackstone,crafting_shaped,building,,,,polished_blackstone,4,blackstone,blackstone,,blackstone,blackstone,,,,
redstone_from_smelting_redstone_ore,smelting_clear,blocks,redstone,0.7,200,redstone,1,redstone_ore,,,,,,,,
iron_ingot_from_blasting_iron_ore,blasting_clear,misc,iron_ingot,0.7,100,iron_ingot,1,iron_ore,,,,,,,,
purple_dye,crafting_shapeless,misc,,,,purple_dye,2,blue_dye,red_dye,,,,,,,
waxed_weathered_cut_copper_stairs_from_waxed_weathered_copper_stonecutting,stonecutting,,,,,waxed_weathered_cut_copper_stairs,4,waxed_weathered_copper,,,,,,,,
candle,crafting_shaped,misc,,,,candle,1,string,,,honeycomb,,,,,
lantern,crafting_shaped,misc,,,,lantern,1,iron_nugget,iron_nugget,iron_nugget,iron_nugget,torch,iron_nugget,iron_nugget,iron_nugget,iron_nugget
polished_granite_stairs,crafting_shaped,building,,,,polished_granite_stairs,4,polished_granite,,,polished_granite,polished_granite,,polished_granite,polished_granite,polished_granite
waxed_weathered_cut_copper_stairs,crafting_shaped,building,waxed_weathered_cut_copper_stairs,,,waxed_weathered_cut_copper_stairs,4,waxed_weathered_cut_copper,,,waxed_weathered_cut_copper,waxed_weathered_cut_copper,,waxed_weathered_cut_copper,waxed_weathered_cut_copper,waxed_weathered_cut_copper
mossy_cobblestone_wall_from_mossy_cobblestone_stonecutting,stonecutting,,,,,mossy_cobblestone_wall,1,mossy_cobblestone,,,,,,,,
ward_armor_trim_smithing_template_smithing_trim,smithing_trim,,,,,,1,ward_armor_trim_smithing_template,#trimmable_armor,#trim_materials,,,,,,
light_weighted_pressure_plate,crafting_shaped,redstone,,,,light_weighted_pressure_plate,1,gold_ingot,gold_ingot,,,,,,,
green_terracotta,crafting_shaped,building,stained_terracotta,,,green_terracotta,8,terracotta,terracotta,terracotta,terracotta,green_dye,terracotta,terracotta,terracotta,terracotta
cracked_nether_bricks,smelting,blocks,,0.1,200,cracked_nether_bricks,1,nether_bricks,,,,,,,,
mossy_cobblestone_stairs_from_mossy_cobblestone_stonecutting,stonecutting,,,,,mossy_cobblestone_stairs,1,mossy_cobblestone,,,,,,,,
cherry_fence,crafting_shaped,misc,wooden_fence,,,cherry_fence,3,cherry_planks,stick,cherry_planks,cherry_planks,stick,cherry_planks,,,
polished_deepslate_stairs_from_polished_deepslate_stonecutting,stonecutting,,,,,polished_deepslate_stairs,1,polished_deepslate,,,,,,,,
slime_ball,crafting_shapeless,misc,,,,slime_ball,9,slime_block,,,,,,,,
iron_ingot_from_iron_block,crafting_shapeless,misc,iron_ingot,,,iron_ingot,9,iron_block,,,,,,,,
birch_pressure_plate,crafting_shaped,redstone,wooden_pressure_plate,,,birch_pressure_plate,1,birch_planks,birch_planks,,,,,,,
spire_armor_trim_smithing_template_smithing_trim,smithing_trim,,,,,,1,spire_armor_trim_smithing_template,#trimmable_armor,#trim_materials,,,,,,
hopper_minecart,crafting_shapeless,misc,,,,hopper_minecart,1,hopper,minecart,,,,,,,
copper_block,crafting_shaped,building,,,,copper_block,1,copper_ingot,copper_ingot,copper_ingot,copper_ingot,copper_ingot,copper_ingot,copper_ingot,copper_ingot,copper_ingot
nether_brick_slab,crafting_shaped,building,,,,nether_brick_slab,6,nether_bricks,nether_bricks,nether_bricks,,,,,,
end_crystal,crafting_shaped,misc,,,,end_crystal,1,glass,glass,glass,glass,ender_eye,glass,glass,ghast_tear,glass
acacia_boat,crafting_shaped,misc,boat,,,acacia_boat,1,acacia_planks,,acacia_planks,acacia_planks,acacia_planks,acacia_planks,,,
weathered_cut_copper,crafting_shaped,building,,,,weathered_cut_copper,4,weathered_copper,weathered_copper,,weathered_copper,weathered_copper,,,,
oak_sign,crafting_shaped,misc,wooden_sign,,,oak_sign,3,oak_planks,oak_planks,oak_planks,oak_planks,oak_planks,oak_planks,,stick,
smooth_quartz_slab_from_smooth_quartz_stonecutting,stonecutting,,,,,smooth_quartz_slab,2,smooth_quartz,,,,,,,,
polished_blackstone_brick_slab_from_blackstone_stonecutting,stonecutting,,,,,polished_blackstone_brick_slab,2,blackstone,,,,,,,,
dye_cyan_carpet,crafting_shapeless,building,carpet,,,cyan_carpet,1,cyan_dye,black_carpet;blue_carpet;brown_carpet;gray_carpet;green_carpet;light_blue_carpet;light_gray_carpet;lime_carpet;magenta_carpet;orange_carpet;pink_carpet;purple_carpet;red_carpet;yellow_carpet;white_carpet,,,,,,,
yellow_concrete_powder,crafting_shapeless,building,concrete_powder,,,yellow_concrete_powder,8,yellow_dye,sand,sand,sand,sand,gravel,gravel,gravel,gravel
diamond_sword,crafting_shaped,equipment,,,,diamond_sword,1,diamond,,,diamond,,,stick,,
mossy_cobblestone_slab_from_mossy_cobblestone_stonecutting,stonecutting,,,,,mossy_cobblestone_slab,2,mossy_cobblestone,,,,,,,,
waxed_cut_copper_stairs_from_honeycomb,crafting_shapeless,building,waxed_cut_copper_stairs,,,waxed_cut_copper_stairs,1,cut_copper_stairs,honeycomb,,,,,,,
dye_green_carpet,crafting_shapeless,building,carpet,,,green_carpet,1,green_dye,black_carpet;blue_carpet;brown_carpet;cyan_carpet;gray_carpet;light_blue_carpet;light_gray_carpet;lime_carpet;magenta_carpet;orange_carpet;pink_carpet;purple_carpet;red_carpet;yellow_carpet;white_carpet,,,,,,,
coarse_dirt,crafting_shaped,building,,,,coarse_dirt,4,dirt,gravel,,gravel,dirt,,,,
warped_fence,crafting_shaped,misc,wooden_fence,,,warped_fence,3,warped_planks,stick,warped_planks,warped_planks,stick,warped_planks,,,
iron_ingot_from_blasting_raw_iron,blasting_clear,misc,iron_ingot,0.7,100,iron_ingot,1,raw_iron,,,,,,,,
bamboo_pressure_plate,crafting_shaped,redstone,wooden_pressure_plate,,,bamboo_pressure_plate,1,bamboo_planks,bamboo_planks,,,,,,,
chiseled_stone_bricks,crafting_shaped,building,,,,chiseled_stone_bricks,1,stone_brick_slab,,,stone_brick_slab,,,,,
andesite,crafting_shapeless,building,,,,andesite,2,diorite,cobblestone,,,,,,,
dye_brown_wool,crafting_shapeless,building,wool,,,brown_wool,1,brown_dye,black_wool;blue_wool;cyan_wool;gray_wool;green_wool;light_blue_wool;light_gray_wool;lime_wool;magenta_wool;orange_wool;pink_wool;purple_wool;red_wool;yellow_wool;white_wool,,,,,,,
brush,crafting_shaped,equipment,,,,brush,1,feather,,,copper_ingot,,,stick,,
brown_stained_glass,crafting_shaped,building,stained_glass,,,brown_stained_glass,8,glass,glass,glass,glass,brown_dye,glass,glass,glass,glass
cyan_concrete_powder,crafting_shapeless,building,concrete_powder,,,cyan_concrete_powder,8,cyan_dye,sand,sand,sand,sand,gravel,gravel,gravel,gravel
quartz_from_blasting,blasting,misc,,0.2,100,quartz,1,nether_quartz_ore,,,,,,,,
andesite_wall_from_andesite_stonecutting,stonecutting,,,,,andesite_wall,1,andesite,,,,,,,,
stone_sword,crafting_shaped,equipment,,,,stone_sword,1,#stone_tool_materials,,,#stone_tool_materials,,,stick,,
waxed_cut_copper,crafting_shaped,building,waxed_cut_copper,,,waxed_cut_copper,4,waxed_copper_block,waxed_copper_block,,waxed_copper_block,waxed_copper_block,,,,
birch_door,crafting_shaped,redstone,wooden_door,,,birch_door,3,birch_planks,birch_planks,,birch_planks,birch_planks,,birch_planks,birch_planks,
redstone_block,crafting_shaped,redstone,,,,redstone_block,1,redstone,redstone,redstone,redstone,redstone,redstone,redstone,redstone,redstone
silence_armor_trim_smithing_template_smithing_trim,smithing_trim,,,,,,1,silence_armor_trim_smithing_template,#trimmable_armor,#trim_materials,,,,,,
comparator,crafting_shaped,redstone,,,,comparator,1,,redstone_torch,,redstone_torch,quartz,redstone_torch,stone,stone,stone
mangrove_door,crafting_shaped,redstone,wooden_door,,,mangrove_door,3,mangrove_planks,mangrove_planks,,mangrove_planks,mangrove_planks,,mangrove_planks,mangrove_planks,
crimson_pressure_plate,crafting_shaped,redstone,wooden_pressure_plate,,,crimson_pressure_plate,1,crimson_planks,crimson_planks,,,,,,,
target,crafting_shaped,redstone,,,,target,1,,redstone,,redstone,hay_block,redstone,,redstone,
waxed_cut_copper_from_waxed_copper_block_stonecutting,stonecutting,,,,,waxed_cut_copper,4,waxed_copper_block,,,,,,,,
stripped_warped_hyphae,crafting_shaped,building,bark,,,stripped_warped_hyphae,3,stripped_warped_stem,stripped_warped_stem,,stripped_warped_stem,stripped_warped_stem,,,,
purple_candle,crafting_shapeless,misc,dyed_candle,,,purple_candle,1,candle,purple_dye,,,,,,,
magenta_bed,crafting_shaped,misc,bed,,,magenta_bed,1,magenta_wool,magenta_wool,magenta_wool,#planks,#planks,#planks,,,
minecart,crafting_shaped,misc,,,,minecart,1,iron_ingot,,iron_ingot,iron_ingot,iron_ingot,iron_ingot,,,
smooth_sandstone_stairs_from_smooth_sandstone_stonecutting,stonecutting,,,,,smooth_sandstone_stairs,1,smooth_sandstone,,,,,,,,
dark_oak_wood,crafting_shaped,building,bark,,,dark_oak_wood,3,dark_oak_log,dark_oak_log,,dark_oak_log,dark_oak_log,,,,
brown_glazed_terracotta,smelting,blocks,,0.1,200,brown_glazed_terracotta,1,brown_terracotta,,,,,,,,
warped_sign,crafting_shaped,misc,wooden_sign,,,warped_sign,3,warped_planks,warped_planks,warped_planks,warped_planks,warped_planks,warped_planks,,stick,
diamond_chestplate,crafting_shaped,equipment,,,,diamond_chestplate,1,diamond,,diamond,diamond,diamond,diamond,diamond,diamond,diamond
fishing_rod,crafting_shaped,equipment,,,,fishing_rod,1,,,stick,,stick,string,stick,,string
waxed_cut_copper_slab_from_waxed_cut_copper_stonecutting,stonecutting,,,,,waxed_cut_copper_slab,2,waxed_cut_copper,,,,,,,,
dark_oak_hanging_sign,crafting_shaped,misc,hanging_sign,,,dark_oak_hanging_sign,6,chain,,chain,stripped_dark_oak_log,stripped_dark_oak_log,stripped_dark_oak_log,stripped_dark_oak_log,stripped_dark_oak_log,stripped_dark_oak_log
mushroom_stew,crafting_shapeless,misc,,,,mushroom_stew,1,brown_mushroom,red_mushroom,bowl,,,,,,
cobblestone_slab,crafting_shaped,building,,,,cobblestone_slab,6,cobblestone,cobblestone,cobblestone,,,,,,
cookie,crafting_shaped,misc,,,,cookie,8,wheat,cocoa_beans,wheat,,,,,,
sentry_armor_trim_smithing_template,crafting_shaped,misc,,,,sentry_armor_trim_smithing_template,2,diamond,sentry_armor_trim_smithing_template,diamond,diamond,cobblestone,diamond,diamond,diamond,diamond
soul_torch,crafting_shaped,misc,,,,soul_torch,4,coal;charcoal,,,stick,,,#soul_fire_base_blocks,,
red_sandstone_slab,crafting_shaped,building,,,,red_sandstone_slab,6,red_sandstone;chiseled_red_sandstone,red_sandstone;chiseled_red_sandstone,red_sandstone;chiseled_red_sandstone,,,,,,
soul_lantern,crafting_shaped,misc,,,,soul_lantern,1,iron_nugget,iron_nugget,iron_nugget,iron_nugget,soul_torch,iron_nugget,iron_nugget,iron_nugget,iron_nugget
end_stone_bricks_from_end_stone_stonecutting,stonecutting,,,,,end_stone_bricks,1,end_stone,,,,,,,,
polished_blackstone_wall_from_blackstone_stonecutting,stonecutting,,,,,polished_blackstone_wall,1,blackstone,,,,,,,,
